fcode,description,canalditchtype,constructionmaterial,hydrographiccategory,inundationcontrolstatus,operationalstatus,pipelinetype,positionalaccuracy,relationshiptosurface,reservoirtype,stage,kcode
44101,Rock: Relationship to Surface = Abovewater, , , , , , , ,Abovewater, ,,"441,RTS8"
44102,Rock: Relationship to Surface = Underwater, , , , , , , ,Underwater, ,,"441,RTS424"
44500,Sea/Ocean, , , , , , , , , ,,"445"
45000,Sink/Rise: Flow - Unknown, , , , , , , , , ,,"450"
45500,Spillway, , , , , , , , , ,,"455"
45800,Spring/Seep, , , , , , , , , ,,"458"
46000,Stream/River, , , , , , , , , ,,"460"
46003,Stream/River: Hydrographic Category = Intermittent, , ,Intermittent, , , ,, , ,,"460,HYC189"
46006,Stream/River: Hydrographic Category = Perennial, , ,Perennial, , , ,, , ,,"460,HYC289"
46100,Submerged Stream, , , , , , , , , ,,"461"
46600,Swamp/Marsh, , , , , , , , , ,,"466"
